Site,Sample_Type,Treatment,Tank_No,Tank_Name,Date,Sal_Real,Salinity,Dispersal,IU_Barcode,Sample,NH4_uM,NH4_mg_L,NO3NO2_uM,NO3NO2_mg_L,PO4_uM,PO4_mg_L,ngCO2C_mL_day
CSI_Dispersal,W,A,4,A4_2015-July25,25-Jul-15,0.53,0,3,CSI047,CSI-224,1.09,0.02,0.53,0.01,0.03,0,46.72
CSI_Dispersal,W,A,5,A5_2015-July25,25-Jul-15,4.33,5,2,CSI048,CSI-225,1.77,0.02,0.53,0.01,0.03,0,15.1
CSI_Dispersal,W,A,6,A6_2015-July25,25-Jul-15,4.51,5,3,CSI049,CSI-226,1.59,0.02,0.53,0.01,0.03,0,54.99
CSI_Dispersal,W,A,7,A7_2015-July25,25-Jul-15,7.77,9,2,CSI050,CSI-227,1.73,0.02,0.53,0.01,0.03,0,155.17
CSI_Dispersal,W,A,8,A8_2015-July25,25-Jul-15,8.54,9,3,CSI051,CSI-228,1.41,0.02,0.54,0.01,0.03,0,0
CSI_Dispersal,W,A,9,A9_2015-July25,25-Jul-15,10.55,13,2,CSI052,CSI-229,1.04,0.01,0.53,0.01,0.03,0,3.9
CSI_Dispersal,W,A,10,A10_2015-July25,25-Jul-15,10.92,13,3,CSI053,CSI-230,1.18,0.02,0.53,0.01,0.08,0,81.56
CSI_Dispersal,W,A,11,A11_2015-July25,25-Jul-15,0.44,0,2,CSI054,CSI-231,1.14,0.02,0.53,0.01,0.11,0,166.85
CSI_Dispersal,W,B,4,B4_2015-July25,25-Jul-15,0.51,0,3,CSI058,CSI-235,1.24,0.02,0.53,0.01,0.03,0,70.73
CSI_Dispersal,W,B,5,B5_2015-July25,25-Jul-15,5.02,5,2,CSI059,CSI-236,1.27,0.02,0.53,0.01,0.03,0,11.7
CSI_Dispersal,W,B,6,B6_2015-July25,25-Jul-15,4.58,5,3,CSI060,CSI-237,1.25,0.02,0.53,0.01,0.03,0,3.96
CSI_Dispersal,W,B,8,B8_2015-July25,25-Jul-15,8,9,3,CSI061,CSI-239,1.69,0.02,0.53,0.01,0.03,0,14.48
CSI_Dispersal,W,B,9,B9_2015-July25,25-Jul-15,11.33,13,2,CSI062,CSI-240,2.18,0.03,0.53,0.01,0.03,0,30.5
CSI_Dispersal,W,B,10,B10_2015-July25,25-Jul-15,11.11,13,3,CSI063,CSI-241,1.5,0.02,0.53,0.01,0.03,0,58.35
CSI_Dispersal,W,B,11,B11_2015-July25,25-Jul-15,0.39,0,2,CSI064,CSI-242,NA,NA,NA,NA,NA,NA,26.49
CSI_Dispersal,W,C,4,C4_2015-July25,25-Jul-15,0.48,0,3,CSI068,CSI-246,1.69,0.02,0.56,0.01,0.03,0,73.4
CSI_Dispersal,W,C,5,C5_2015-July25,25-Jul-15,4.19,5,2,CSI069,CSI-247,2.21,0.03,0.53,0.01,0.03,0,77.25
CSI_Dispersal,W,C,6,C6_2015-July25,25-Jul-15,4.71,5,3,CSI070,CSI-248,1.2,0.02,0.53,0.01,0.03,0,8.08
CSI_Dispersal,W,C,7,C7_2015-July25,25-Jul-15,7.41,9,2,CSI071,CSI-249,1.22,0.02,1.09,0.02,0.03,0,1.18
CSI_Dispersal,W,C,8,C8_2015-July25,25-Jul-15,8.45,9,3,CSI072,CSI-250,1.33,0.02,0.53,0.01,0.09,0,1.85
CSI_Dispersal,W,C,9,C9_2015-July25,25-Jul-15,11.34,13,2,CSI073,CSI-251,1.99,0.03,0.65,0.01,0.15,0,52.41
CSI_Dispersal,W,C,10,C10_2015-July25,25-Jul-15,10.45,13,3,CSI074,CSI-252,1.69,0.02,0.53,0.01,0.1,0,13.56
CSI_Dispersal,W,C,11,C11_2015-July25,25-Jul-15,0.41,0,2,CSI075,CSI-253,1.17,0.02,0.53,0.01,0.03,0,58.58
CSI_Dispersal,W,D,4,D4_2015-July25,25-Jul-15,0.45,0,3,CSI079,CSI-257,1.77,0.02,0.53,0.01,0.03,0,189
CSI_Dispersal,W,D,5,D5_2015-July25,25-Jul-15,4.48,5,2,CSI080,CSI-258,1.49,0.02,0.53,0.01,0.03,0,0.73
CSI_Dispersal,W,D,6,D6_2015-July25,25-Jul-15,4.46,5,3,CSI081,CSI-259,1.99,0.03,0.53,0.01,0.03,0,37.37
CSI_Dispersal,W,D,7,D7_2015-July25,25-Jul-15,7.94,9,2,CSI082,CSI-260,1.5,0.02,0.53,0.01,0.03,0,18.14
CSI_Dispersal,W,D,8,D8_2015-July25,25-Jul-15,7.89,9,3,CSI083,CSI-261,1.69,0.02,0.53,0.01,0.03,0,5.8
CSI_Dispersal,W,D,9,D9_2015-July25,25-Jul-15,7,13,2,CSI084,CSI-262,1.72,0.02,0.53,0.01,0.03,0,10.11
CSI_Dispersal,W,D,10,D10_2015-July25,25-Jul-15,11.66,13,3,CSI085,CSI-263,1.82,0.03,0.53,0.01,0.03,0,35.26
CSI_Dispersal,W,D,11,D11_2015-July25,25-Jul-15,0.35,0,2,CSI086,CSI-264,1.09,0.02,0.53,0.01,0.03,0,100.9
