"","param","quant","method","value"
"1","b1","median","wide",13.4575831538726
"2","b1","lwr","wide",10.9312495388288
"3","b1","upr","wide",17.6654018905194
"4","b2","median","wide",29.3782385671985
"5","b2","lwr","wide",18.6646564355923
"6","b2","upr","wide",51.2401808181154
"7","b1","median","lit",3.80196129807773
"8","b1","lwr","lit",1.63078495850368
"9","b1","upr","lit",5.84500602571749
"10","b2","median","lit",1.00424018741646
"11","b2","lwr","lit",0.140883487363422
"12","b2","upr","lit",6.89980723270809
"13","b1","median","mm",3.90348406617496
"14","b1","lwr","mm",2.06380769981977
"15","b1","upr","mm",5.72990136888304
"16","b2","median","mm",6.92011479545762
"17","b2","lwr","mm",0.450637827534108
"18","b2","upr","mm",22.6967667813276
"19","b1","median","hyper",8.13204462744438
"20","b1","upr","hyper",10.4507188473335
"21","b1","lwr","hyper",5.6501008070454
"22","b2","median","hyper",11.3892224541361
"23","b2","lwr","hyper",5.42799610365599
"24","b2","upr","hyper",18.6414451315893
"25","b1","median","conb1",6.33107632990871
"26","b1","upr","conb1",8.23175539372435
"27","b1","lwr","conb1",4.38279513431316
"28","b2","median","conb1",0.248775077736927
"29","b2","lwr","conb1",-19.5478889368996
"30","b2","upr","conb1",19.5946273607457
"31","death2","median","unweighted",50.41
"32","death2","upr","unweighted",84
"33","death2","lwr","unweighted",22.24
"34","death2","median","weight_sd",67.545770751422
"35","death2","upr","weight_sd",69.9183869106789
"36","death2","lwr","weight_sd",65.1731545921651
"37","death2","median","weight_rep",58.7504
"38","death2","upr","weight_rep",62.2776372725423
"39","death2","lwr","weight_rep",55.2231627274577
"40","ha","median","wide",0.00376490245591025
"41","ha","lwr","wide",0.00344319368739517
"42","ha","upr","wide",0.0040947431035095
"43","xa","median","wide",0.0520177818503156
"44","xa","lwr","wide",-0.0182046266506234
"45","xa","upr","wide",0.124389255121435
"46","ha","median","mixvs",0.22627377246777
"47","ha","lwr","mixvs",-0.411784921646099
"48","ha","upr","mixvs",1.37313341215095
"49","xa","median","mixvs",0.0539732038555381
"50","xa","lwr","mixvs",-0.0162923936648474
"51","xa","upr","mixvs",0.121639755721985
"52","ha","median","litimp",0.192786037547476
"53","ha","lwr","litimp",0.121823883642011
"54","ha","upr","litimp",0.274951845217664
"55","ha","median","litvs",0.848244853137441
"56","ha","upr","litvs",1.80369451910662
"57","ha","lwr","litvs",-0.111298297418142
"58","ha","median","mmimp",0.0039118612672087
"59","ha","upr","mmimp",0.00425771643458093
"60","ha","lwr","mmimp",0.00360089677362436
"61","xa","median","mmimp",0.0510840465061358
"62","xa","lwr","mmimp",-0.0130415511414845
"63","xa","upr","mmimp",0.118709174673261
"64","hj","median","wide",0.00150458862427172
"65","hj","lwr","wide",0.00111015157431841
"66","hj","upr","wide",0.00190684392613532
"67","g","median","wide",4.82253562581915
"68","g","lwr","wide",4.12694824493837
"69","g","upr","wide",5.68140665719561
"70","xj","median","wide",0.234243695327192
"71","xj","lwr","wide",0.063573220374693
"72","xj","upr","wide",0.588464687065876
