param,quant,method,value
b1,median,wide,13.45758315
b1,lwr,wide,10.93124954
b1,upr,wide,17.66540189
b2,median,wide,29.37823857
b2,lwr,wide,18.66465644
b2,upr,wide,51.24018082
b1,median,lit,3.801961298
b1,lwr,lit,1.630784959
b1,upr,lit,5.845006026
b2,median,lit,1.004240187
b2,lwr,lit,0.140883487
b2,upr,lit,6.899807233
b1,median,mm,3.903484066
b1,lwr,mm,2.0638077
b1,upr,mm,5.729901369
b2,median,mm,6.920114795
b2,lwr,mm,0.450637828
b2,upr,mm,22.69676678
b1,median,hyper,8.132044627
b1,upr,hyper,10.45071885
b1,lwr,hyper,5.650100807
b2,median,hyper,11.38922245
b2,lwr,hyper,5.427996104
b2,upr,hyper,18.64144513
b1,median,conb1,6.33107633
b1,upr,conb1,8.231755394
b1,lwr,conb1,4.382795134
b2,median,conb1,0.248775078
b2,lwr,conb1,-19.54788894
b2,upr,conb1,19.59462736
death2,median,unweighted,50.41
death2,upr,unweighted,84
death2,lwr,unweighted,22.24
death2,median,weight_sd,67.54577075
death2,upr,weight_sd,69.91838691
death2,lwr,weight_sd,65.17315459
death2,median,weight_rep,58.7504
death2,upr,weight_rep,62.27763727
death2,lwr,weight_rep,55.22316273
death2,median,wide,24.430926
death2,lwr,wide,22.32967916
death2,upr,wide,26.69876021
death2,median,informed,24.5089152
death2,lwr,informed,22.46423789
death2,upr,informed,26.72462406
ha,median,wide,0.003764902
ha,lwr,wide,0.003443194
ha,upr,wide,0.004094743
xa,median,wide,0.052017782
xa,lwr,wide,-0.018204627
xa,upr,wide,0.124389255
ha,median,mixvs,0.226273772
ha,lwr,mixvs,-0.411784922
ha,upr,mixvs,1.373133412
xa,median,mixvs,0.053973204
xa,lwr,mixvs,-0.016292394
xa,upr,mixvs,0.121639756
ha,median,litimp,0.192786038
ha,lwr,litimp,0.121823884
ha,upr,litimp,0.274951845
ha,median,litvs,0.848244853
ha,upr,litvs,1.803694519
ha,lwr,litvs,-0.111298297
ha,median,mmimp,0.003911861
ha,upr,mmimp,0.004257716
ha,lwr,mmimp,0.003600897
xa,median,mmimp,0.051084047
xa,lwr,mmimp,-0.013041551
xa,upr,mmimp,0.118709175
hj,median,wide,0.001504589
hj,lwr,wide,0.001110152
hj,upr,wide,0.001906844
g,median,wide,4.822535626
g,lwr,wide,4.126948245
g,upr,wide,5.681406657
xj,median,wide,0.234243695
xj,lwr,wide,0.06357322
xj,upr,wide,0.588464687
