"","a","k","r","death","pred_nh40","pred_chl0","lowa","lowk","lowr","lowdeath","lownh4","lowchl","higha","highk","highr","highdeath","highnh4","highchl","loglik","ttime"
"1","0.0521909484736009","0.0863685663018941","0.010000350730957","0.000995018876617208","15.2045139552223","41.3251987016812","0.0521909484279751","0.086368566296756","NaN","0.000995018876417902","NaN","41.3251986564484","0.0521909485192267","0.0863685663070321","NaN","0.000995018876816514","NaN","41.325198746914","-332267.737029323","362.7"
"2","0.177422638359054","0.267083904954099","0.00991557800681512","0.00235468443817926","23.2610224436669","30.677077843139","NaN","0.267083904954099","0.00991557800681512","NaN","23.2610224436669","NaN","NaN","0.267083904954099","0.00991557800681512","NaN","23.2610224436669","NaN","-264831.685983101","114.11"
"3","0.131946548138437","0.208911157157389","0.0099922622665595","0.00103205325987829","14.8328659688232","39.2846223603824","NaN","NaN","0.00999226137241852","0.0010320499518661","14.8328343622948","39.2845988172344","NaN","NaN","0.00999226316070057","0.00103205656790108","14.8328975754189","39.2846459035444","-235201.366350317","609.61"
"4","0.160313056212021","0.251464553322687","0.0100007529541091","0.000986648903399484","17.2240125096945","36.4793150971517","0.160313031800757","0.251464546814806","0.0100007529152115","0.000986648699017271","17.2240094851967","36.479300576533","0.160313080623289","0.251464559830568","0.0100007529930068","0.000986649107781739","17.2240155341927","36.4793296177762","-233293.693778287","305.91"
"5","0.19069521247874","0.285252929721988","0.00999998650025796","0.0010015381165842","19.5826743712438","33.6481249807973","NaN","0.285252929721988","NaN","NaN","19.5826743712438","NaN","NaN","0.285252929721988","NaN","NaN","19.5826743712438","NaN","-196550.831891179","114.75"
"6","0.20999999987834","0.329999999997611","0.0100000000000002","0.00100000000000039","15.0000000076355","39.999999980043","0.209999999761966","0.329999999866006","0.00999999999895147","0.000999999998871161","NaN","NaN","0.209999999994714","0.330000000129216","0.010000000001049","0.00100000000112962","NaN","NaN","-229697.587239838","128.44"
"7","0.219850189532209","0.354779735413607","0.00999999736208266","0.000999635161305488","15.1642083782091","41.2409723215472","NaN","0.354779734929411","NaN","NaN","NaN","NaN","NaN","0.354779735897803","NaN","NaN","NaN","NaN","-242084.421313033","175.17"
"8","0.254591692584291","0.403992850477739","0.00999999875208607","0.000999924173776765","15.0620690046087","40.4314059656236","0.25459169209792","NaN","NaN","0.000999924170387441","15.0620688509957","40.4314058551345","0.254591693070663","NaN","NaN","0.000999924177166089","15.0620691582218","40.4314060761126","-225622.946464549","204.43"
"9","0.352951618834912","0.516123620993349","0.0100024164358911","0.000980095169573612","21.0461050575222","30.6332247961708","NaN","0.5161236209907","NaN","NaN","NaN","NaN","NaN","0.516123620995997","NaN","NaN","NaN","NaN","-206406.617775695","147.11"
"10","0.29","0.45","0.01","0.001","15","40","NaN","NaN","NaN","0.001","15","39.9999999999999","NaN","NaN","NaN","0.001","15","40","-286630.513343713","112.22"
"11","2.21875463223837","3.67607747578676","1.47463131675584e-11","0.00651264442845895","13.4548425892057","45.1692507852068","2.21839307933437","3.67554494418677","1.47463131675578e-11","0.00651228614191652","NaN","NaN","2.21911624406814","3.67661008454264","1.4746313167559e-11","0.00651300273471324","NaN","NaN","-95078.7178751892","1309.15"
